epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,180.276,3.38508,3.69933,2.83146,0.46316,0.00723,0.00997,0.00325,3.53371,5.32139,2.96267,0.007921,0.007921,0.007921
44,183.956,3.43841,3.55732,2.85601,0.00295,0.09897,0.0067,0.00262,3.47245,3.85464,2.83042,0.0078715,0.0078715,0.0078715
45,187.372,3.34107,3.57022,2.82652,0.00299,0.09742,0.00597,0.00185,3.43964,3.90232,2.82087,0.007822,0.007822,0.007822
46,190.954,3.42916,3.68915,2.86752,0.00358,0.09223,0.00956,0.00355,3.38854,3.86331,2.8101,0.0077725,0.0077725,0.0077725
47,194.618,3.39298,3.62075,2.83723,0.00473,0.02752,0.0027,0.00091,3.6716,5.35693,3.07801,0.007723,0.007723,0.007723
48,198.121,3.33259,3.55899,2.88224,0.02425,0.02597,0.00762,0.00384,3.57977,5.01799,2.99877,0.0076735,0.0076735,0.0076735
49,201.875,3.33196,3.55377,2.84131,0.19015,0.00568,0.01144,0.0041,3.34573,4.82463,2.85998,0.007624,0.007624,0.007624
50,206.808,3.25994,3.56293,2.78384,0.00168,0.12486,0.00264,0.0005,3.41479,4.94784,2.88406,0.0075745,0.0075745,0.0075745
51,210.433,3.15689,3.53137,2.76432,0.27296,0.00568,0.00569,0.00127,3.31911,4.29046,2.85748,0.007525,0.007525,0.007525
52,214.557,3.25892,3.75778,2.74737,0.00195,0.08816,0.00229,0.00084,3.37012,4.21349,2.89357,0.0074755,0.0074755,0.0074755
53,218.268,3.22098,3.58416,2.76898,0.00234,0.07299,0.00488,0.00201,3.45638,4.56766,2.96449,0.007426,0.007426,0.007426
54,222.004,3.2485,3.53436,2.79393,0.00226,0.079,0.0051,0.00178,3.41895,4.45602,2.93451,0.0073765,0.0073765,0.0073765
55,225.488,3.18122,3.55593,2.76865,0.00235,0.12406,0.00499,0.00116,3.2358,3.73819,2.76947,0.007327,0.007327,0.007327
56,229.052,3.23432,3.62465,2.7584,0.17238,0.00723,0.01563,0.00473,3.17281,3.49865,2.77632,0.0072775,0.0072775,0.0072775
57,232.952,3.23601,3.60323,2.73792,0.00239,0.1006,0.00381,0.00093,3.34356,4.04391,2.86939,0.007228,0.007228,0.007228
58,236.53,3.21236,3.4639,2.82488,0.40168,0.00877,0.01183,0.00445,3.60842,4.92016,3.19948,0.0071785,0.0071785,0.0071785
59,240.181,3.19991,3.52086,2.7621,0.02123,0.01599,0.01276,0.00384,3.44178,4.76915,2.96724,0.007129,0.007129,0.007129
60,244.402,3.16845,3.5046,2.76601,0.00111,0.07647,0.0012,0.00034,3.579,inf,3.43935,0.0070795,0.0070795,0.0070795
61,248.53,3.10261,3.5052,2.70857,0.34778,0.00568,0.00914,0.00383,3.4051,6.38926,2.98693,0.00703,0.00703,0.00703
62,252.434,3.06573,3.34614,2.70256,0.1504,0.00723,0.00977,0.00411,3.34974,4.32946,2.87637,0.0069805,0.0069805,0.0069805
63,256.132,3.12928,3.52712,2.67308,0.28131,0.01445,0.01351,0.00406,3.18414,3.85963,2.76406,0.006931,0.006931,0.006931
64,259.827,3.05639,3.46492,2.73111,0.30811,0.00568,0.00564,0.00169,3.25311,5.13693,2.80811,0.0068815,0.0068815,0.0068815
65,263.473,3.08567,3.4755,2.62949,0.00164,0.10563,0.00699,0.00369,3.23611,5.23825,2.78847,0.006832,0.006832,0.006832
66,267.471,3.08208,3.50769,2.5823,0.00189,0.12868,0.00183,0.00039,3.2156,6.34413,2.78732,0.0067825,0.0067825,0.0067825
67,271.096,3.02209,3.45907,2.62233,0.00205,0.07112,0.00174,0.0005,3.24628,6.09189,2.79057,0.006733,0.006733,0.006733
68,274.967,3.16059,3.49982,2.67753,0.04192,0.02736,0.00871,0.00249,3.36978,6.56227,2.98644,0.0066835,0.0066835,0.0066835
69,278.544,3.10049,3.6735,2.67671,0.01424,0.01705,0.0107,0.00356,3.23942,4.55949,2.85343,0.006634,0.006634,0.006634
70,282.089,3.01342,3.53354,2.59119,0.34553,0.00568,0.00918,0.00268,3.31435,4.45432,2.88308,0.0065845,0.0065845,0.0065845
71,285.686,3.01657,3.56168,2.58743,0.32822,0.00568,0.00835,0.00303,3.424,4.40264,2.90516,0.006535,0.006535,0.006535
72,289.614,3.02893,3.38558,2.59372,0.26845,0.07234,0.01629,0.00436,3.10502,3.53516,2.63004,0.0064855,0.0064855,0.0064855
73,293.081,2.95823,3.50037,2.53853,0.06471,0.00723,0.00928,0.0026,3.29535,4.19184,2.81044,0.006436,0.006436,0.006436
74,297.083,2.97156,3.39313,2.56336,0.15367,0.00568,0.00765,0.00391,3.3464,7.67695,2.9852,0.0063865,0.0063865,0.0063865
75,300.456,2.93485,3.27578,2.52972,0.01329,0.17774,0.02093,0.00855,3.21777,3.7097,2.70233,0.006337,0.006337,0.006337
76,304.24,2.9682,3.37875,2.58374,0.00963,0.2435,0.03504,0.01244,3.06849,3.44008,2.62946,0.0062875,0.0062875,0.0062875
77,308,2.90147,3.40576,2.52146,0.00289,0.14086,0.00872,0.00248,3.15534,3.67174,2.73802,0.006238,0.006238,0.006238
78,311.538,2.96192,3.48681,2.54969,0.0041,0.12251,0.00683,0.00211,3.19946,3.71379,2.74291,0.0061885,0.0061885,0.0061885
79,314.978,2.92461,3.21969,2.5314,0.00349,0.06869,0.00921,0.00245,3.25168,3.98256,2.79322,0.006139,0.006139,0.006139
80,318.646,2.90451,3.27493,2.535,0.00194,0.0833,0.00133,0.00038,3.21307,5.04581,2.74513,0.0060895,0.0060895,0.0060895
81,322.105,3.05216,3.33413,2.58832,0.00535,0.04279,0.00483,0.00173,3.26356,4.11676,2.72471,0.00604,0.00604,0.00604
82,325.92,2.87268,3.36074,2.51546,0.00497,0.09312,0.008,0.00198,3.23391,3.98139,2.79044,0.0059905,0.0059905,0.0059905
83,329.478,2.91966,3.28252,2.62791,0.39464,0.0423,0.01751,0.00547,3.12142,3.7304,2.80306,0.005941,0.005941,0.005941
84,332.967,2.96009,3.31428,2.55872,0.00373,0.15279,0.01596,0.00488,3.16643,3.55278,2.76761,0.0058915,0.0058915,0.0058915
85,336.429,2.88137,3.19392,2.54669,0.42438,0.04092,0.02462,0.00761,3.02964,3.41568,2.66699,0.005842,0.005842,0.005842
86,339.987,2.83379,3.21087,2.50815,0.47508,0.01599,0.02346,0.00558,3.05335,3.53967,2.70631,0.0057925,0.0057925,0.0057925
87,343.611,2.90044,3.21659,2.50425,0.39787,0.01445,0.0144,0.00434,3.04615,3.43489,2.59043,0.005743,0.005743,0.005743
88,347.227,2.8661,3.31576,2.45505,0.45798,0.02168,0.03093,0.00952,2.99173,3.47623,2.5956,0.0056935,0.0056935,0.0056935
89,351.285,2.83562,3.12481,2.47148,0.25431,0.02752,0.00175,0.00038,3.43159,12.453,3.15162,0.005644,0.005644,0.005644
90,355.36,2.85101,3.3007,2.51683,0.25104,0.02752,0.00062,0.00015,3.57017,81.2488,3.58213,0.0055945,0.0055945,0.0055945
91,359.382,2.87137,3.44747,2.51873,0.25423,0.01754,0.00306,0.0006,3.26569,5.82273,2.97012,0.005545,0.005545,0.005545
92,363.192,2.82402,3.26756,2.44643,0.40141,0.01445,0.02182,0.006,3.0305,3.90743,2.63166,0.0054955,0.0054955,0.0054955
93,366.649,2.83339,3.32452,2.49121,0.57853,0.02322,0.03167,0.0069,2.97873,3.50877,2.58645,0.005446,0.005446,0.005446
94,370.205,2.825,3.2019,2.50199,0.45029,0.02471,0.02237,0.00504,2.97537,3.65415,2.64185,0.0053965,0.0053965,0.0053965
95,373.705,2.8375,3.1469,2.48058,0.43872,0.01859,0.01489,0.00456,3.30641,4.30242,2.779,0.005347,0.005347,0.005347
96,376.978,2.77188,3.18525,2.46181,0.4137,0.00877,0.01664,0.00486,3.19238,4.06749,2.75338,0.0052975,0.0052975,0.0052975
97,380.419,2.7208,3.15367,2.46796,0.44301,0.02736,0.03045,0.00691,2.93239,3.43822,2.6202,0.005248,0.005248,0.005248
98,384.061,2.86028,3.25865,2.47233,0.50662,0.00723,0.00175,0.00033,3.33902,5.97939,3.10479,0.0051985,0.0051985,0.0051985
99,387.405,2.72968,3.08983,2.3828,0.60984,0.02785,0.03584,0.01016,2.90096,3.45682,2.55676,0.005149,0.005149,0.005149
100,390.978,2.74377,3.10381,2.41317,0.71985,0.0148,0.03159,0.00903,2.99862,3.60659,2.64944,0.0050995,0.0050995,0.0050995
101,394.444,2.74768,3.18462,2.45451,0.54575,0.03304,0.03645,0.01236,2.92549,3.24887,2.62541,0.00505,0.00505,0.00505
102,398.57,2.72558,2.99835,2.42481,0.59906,0.04505,0.04523,0.01419,2.86699,3.52566,2.61832,0.0050005,0.0050005,0.0050005
103,402.353,2.74252,3.19328,2.4678,0.60567,0.03044,0.0349,0.01222,2.91448,3.5536,2.58672,0.004951,0.004951,0.004951
104,405.741,2.75451,3.17772,2.4285,0.45607,0.03497,0.02823,0.00758,2.88425,3.4323,2.60451,0.0049015,0.0049015,0.0049015
105,409.264,2.73215,3.0023,2.3913,0.41769,0.01599,0.01564,0.00339,3.1402,4.1353,2.73154,0.004852,0.004852,0.004852
106,412.903,2.67076,2.97949,2.36033,0.42873,0.02322,0.02066,0.0057,2.98188,3.57063,2.60134,0.0048025,0.0048025,0.0048025
107,416.432,2.7056,3.1011,2.38343,0.44458,0.00723,0.00993,0.00319,3.12903,3.67619,2.73664,0.004753,0.004753,0.004753
108,420.043,2.80976,3.06458,2.40285,0.00235,0.09913,0.00426,0.00097,3.19364,4.41046,2.83574,0.0047035,0.0047035,0.0047035
109,423.514,2.77088,3.15088,2.46155,0.39183,0.01445,0.00546,0.00145,3.27351,4.52565,2.9192,0.004654,0.004654,0.004654
110,427.198,2.82431,3.06743,2.49668,0.00276,0.10205,0.01236,0.00524,3.1514,3.94362,2.80352,0.0046045,0.0046045,0.0046045
111,430.625,2.72638,3.10893,2.47659,0.4013,0.00723,0.00697,0.00309,3.2156,4.31824,2.91835,0.004555,0.004555,0.004555
112,434.437,2.71982,3.08994,2.4234,0.44957,0.02476,0.03379,0.01103,2.92111,3.82233,2.61173,0.0045055,0.0045055,0.0045055
113,438.02,2.7214,2.98221,2.40427,0.45486,0.02302,0.02389,0.00499,3.02237,3.82439,2.71653,0.004456,0.004456,0.004456
114,441.559,2.71141,3.04343,2.40046,0.45264,0.06217,0.05057,0.01571,2.82579,3.23537,2.55776,0.0044065,0.0044065,0.0044065
115,445.378,2.67918,2.99344,2.40897,0.80274,0.00568,0.00544,0.00209,3.24309,4.50662,2.95016,0.004357,0.004357,0.004357
116,448.871,2.59702,3.00108,2.3323,0.638,0.00568,0.00256,0.00086,3.3529,5.43974,3.08814,0.0043075,0.0043075,0.0043075
117,452.349,2.59614,2.99019,2.33669,0.59532,0.06568,0.05755,0.02297,2.76393,3.24218,2.52618,0.004258,0.004258,0.004258
118,456.231,2.63215,2.80556,2.39827,0.6981,0.03491,0.01899,0.0051,2.97799,3.95857,2.79711,0.0042085,0.0042085,0.0042085
