epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30448,4.5405,5.71369,4.19491,0,0,0,0,4.28809,4.70831,4.15978,0.00012006,0.00012006,0.00012006
2,6.63905,4.59954,5.6086,4.19661,0,0,0,0,4.28439,4.68698,4.15318,0.000245976,0.000245976,0.000245976
3,8.66233,4.73029,5.47032,4.13305,0,0,0,0,4.27281,4.65455,4.13739,0.000371055,0.000371055,0.000371055
4,10.7838,4.34896,5.16979,4.08417,0,0,0,0,4.26233,4.60085,4.10625,0.000495298,0.000495298,0.000495298
5,12.6559,4.51695,5.2101,4.01678,0,0,0,0,4.24331,4.5635,4.08068,0.000618704,0.000618704,0.000618704
6,14.4582,4.07143,4.83507,3.98676,0,0,0,0,4.20675,4.43681,4.02732,0.000655994,0.000655994,0.000655994
7,16.6539,4.15142,4.68923,3.90318,0.00043,0.02369,0.00024,8e-05,4.05226,4.07683,3.81279,0.000653793,0.000653793,0.000653793
8,18.7889,3.98042,4.52003,3.82135,0.28597,0.01361,0.00675,0.00209,3.90433,5.3415,3.75384,0.000651592,0.000651592,0.000651592
9,21.4463,4.00547,4.4164,3.81228,0.57272,0.0068,0.00166,0.00036,3.75754,13.1277,3.85392,0.000649391,0.000649391,0.000649391
10,25.8452,3.84789,4.36577,3.76722,0.85853,0.0068,0.00082,0.00015,3.68931,12.2735,3.89263,0.00064719,0.00064719,0.00064719
11,31.1876,3.87408,4.24824,3.66199,0.14535,0.01184,0.00089,0.00041,3.69,15.6526,3.79868,0.000644989,0.000644989,0.000644989
12,33.3429,3.84501,4.29241,3.58348,0.14981,0.0068,0.00378,0.00218,3.79032,13.0876,3.59179,0.000642788,0.000642788,0.000642788
13,35.5521,3.7789,4.02093,3.55354,0.43305,0.0068,0.00278,0.00099,3.82441,10.9398,3.51159,0.000640587,0.000640587,0.000640587
14,39.3157,3.79382,4.12788,3.45864,0.14547,0.04981,0.00644,0.00151,3.86671,12.4256,3.34809,0.000638386,0.000638386,0.000638386
15,42.9894,3.72831,3.91007,3.36678,0.14877,0.03789,0.00455,0.001,3.85492,8.96795,3.2808,0.000636185,0.000636185,0.000636185
16,45.8765,3.71656,3.92395,3.34114,0.00234,0.0368,0.00347,0.00066,3.8358,5.14347,3.27418,0.000633983,0.000633983,0.000633983
17,49.4286,3.63052,3.81622,3.25803,0.0027,0.04983,0.00386,0.00068,3.8292,4.55592,3.24241,0.000631782,0.000631782,0.000631782
18,51.9147,3.73244,3.91158,3.25891,0.2876,0.0594,0.00341,0.00049,3.87693,4.10823,3.27237,0.000629581,0.000629581,0.000629581
19,56.1001,3.75099,3.85819,3.19664,0.00273,0.10543,0.00326,0.00079,3.75025,3.43324,3.19873,0.00062738,0.00062738,0.00062738
20,58.8678,3.64771,3.90992,3.19599,0.00303,0.11417,0.00728,0.00145,3.73777,3.42184,3.12721,0.000625179,0.000625179,0.000625179
21,62.2237,3.69415,3.82004,3.1453,0.00238,0.12661,0.00449,0.00122,3.7237,3.52032,3.07663,0.000622978,0.000622978,0.000622978
22,65.368,3.65185,3.7005,3.13669,0.00264,0.13132,0.00738,0.00175,3.66219,3.68091,2.98776,0.000620777,0.000620777,0.000620777
23,67.8239,3.71627,3.69093,3.06088,0.00276,0.10284,0.00565,0.00181,3.66168,3.51636,3.03449,0.000618576,0.000618576,0.000618576
24,70.8938,3.63907,3.47197,3.04682,0.00231,0.10225,0.00653,0.00143,3.73419,3.39097,3.13361,0.000616375,0.000616375,0.000616375
25,74.2027,3.64498,3.72199,3.03805,0.00245,0.0999,0.00494,0.00108,3.67976,3.33627,3.09482,0.000614174,0.000614174,0.000614174
26,77.2115,3.67235,3.68975,3.02001,0.00284,0.11854,0.00317,0.001,3.66136,3.36127,2.99844,0.000611972,0.000611972,0.000611972
27,79.7991,3.59412,3.61512,2.97766,0.15447,0.02033,0.00742,0.00159,3.58025,3.52133,2.90312,0.000609771,0.000609771,0.000609771
28,82.879,3.70352,3.65483,2.99048,0.07646,0.03429,0.0145,0.00257,3.55102,3.48914,2.87849,0.00060757,0.00060757,0.00060757
29,86.2714,3.58313,3.5747,2.9458,0.00458,0.09822,0.01075,0.00252,3.5372,4.11394,2.83855,0.000605369,0.000605369,0.000605369
30,90.3885,3.61451,3.41572,2.90263,0.01019,0.08864,0.01301,0.00343,3.52405,3.47783,2.77633,0.000603168,0.000603168,0.000603168
31,94.0327,3.61776,3.48432,2.88078,0.00597,0.08402,0.00878,0.00282,3.70985,3.796,2.90362,0.000600967,0.000600967,0.000600967
32,96.5449,3.56054,3.50052,2.97362,0.00248,0.11123,0.00696,0.00198,3.7859,3.69836,2.98589,0.000598766,0.000598766,0.000598766
33,99.3154,3.57928,3.52392,2.92364,0.00732,0.05798,0.00595,0.00152,3.72415,3.37149,2.97809,0.000596565,0.000596565,0.000596565
34,103.083,3.59205,3.52584,2.90881,0.15454,0.01184,0.0075,0.00203,3.65351,3.28092,2.91544,0.000594364,0.000594364,0.000594364
35,106.184,3.5469,3.52744,2.92948,0.01171,0.01353,0.01295,0.0033,3.59514,3.13173,2.8855,0.000592163,0.000592163,0.000592163
36,109.547,3.61539,3.59898,2.86658,0.00387,0.10848,0.00935,0.00267,3.487,3.11513,2.79597,0.000589961,0.000589961,0.000589961
37,113.137,3.5252,3.51124,2.87381,0.29786,0.0068,0.00406,0.00114,3.58352,4.75762,2.86662,0.00058776,0.00058776,0.00058776
38,116.43,3.50979,3.54049,2.81067,0.00628,0.05116,0.0059,0.00113,3.64271,8.50786,2.90171,0.000585559,0.000585559,0.000585559
39,120.135,3.45101,3.2386,2.83068,0.01627,0.03864,0.00536,0.00134,3.70171,6.94391,2.95373,0.000583358,0.000583358,0.000583358
40,123.566,3.49483,3.53117,2.82955,0.01926,0.01924,0.00508,0.00124,3.74443,3.68047,3.03034,0.000581157,0.000581157,0.000581157
41,127.627,3.49919,3.38421,2.91246,0.01489,0.02033,0.01437,0.00438,3.47638,3.27397,2.80218,0.000578956,0.000578956,0.000578956
42,129.995,3.48764,3.35567,2.76405,0.03369,0.02065,0.01157,0.00351,3.43413,3.13387,2.72474,0.000576755,0.000576755,0.000576755
43,133.4,3.45893,3.48237,2.75693,0.04421,0.02832,0.01369,0.00533,3.47941,3.39478,2.78038,0.000574554,0.000574554,0.000574554
